Status,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,battery_storage,thermal_storage,Cost,Emissions_kg,Resilience,Generation,Solution_ID
Success,2.3670769359566974,1.4288596313057464,2.604074175751871,2.1526304813662187,0.4636965740854187,2.9317425845829166,2.331191165572988,3163610.8243084024,18642165.945410945,0.7012043822610315,0,0
Success,2.4009800547754705,0.5587181714915284,1.461080626107588,1.2382344678512274,2.7949419687760853,2.0028223362258606,2.503732517158324,2605742.994967858,9169929.356177364,0.6625757580187506,0,1
Success,1.441559756716527,0.8362684209973752,1.7528374036443373,0.37868831709169093,2.51736728157923,1.9686603175417814,2.3226456722390467,2268559.4257957796,11882058.556725563,0.7206655458066673,0,2
Success,1.1926727107636315,2.9179544683057292,2.7007391397021534,2.379473791806533,0.7449883819855092,1.5068188104356957,0.32265054420424055,2160671.718711277,26956687.387492143,0.5998053971802287,0,3
Success,0.6320105777891338,2.112537069078873,2.285334036541888,2.909027250815788,1.1123110027868255,1.2372871768976328,1.514756271572262,1940053.0041885471,20917607.938444406,0.6829737298371461,0,4
Success,0.7305198054359998,0.5637802149393205,1.5319737934326143,0.8353461773424755,2.075479185111029,1.4240253728425258,2.531498948961945,1766223.341806388,9497836.58680468,0.7355125262875384,0,5
Success,2.1607422856062977,1.074626595869715,2.530327443906563,2.4533402009910454,1.2849394612844884,1.0073186910046834,2.110987411129931,2236580.47275356,16448757.879807925,0.7075365785279841,0,6
Success,0.5913069541060674,0.7597429669303033,0.22061435530281545,2.4033882570059877,2.06158239845769,2.1744630601537382,2.38604128686151,2002143.3722289782,4969489.400039172,0.6339345485334962,0,7
Success,1.4849641715073518,1.7924753486681024,0.5914315947574409,0.5206842059007256,2.0715282930133205,1.5190693772007708,1.7826610981473285,1733181.2990339831,12025810.056159558,0.7117877260871,0,8
Success,2.3419968007648717,1.9772112960016541,1.7500223218423883,1.7657800500871579,1.0510602745753141,0.28628993679023035,1.4228086898506145,1600435.5528239608,17926176.994107235,0.7013499600606947,0,9
Success,0.8008370838946817,1.343880202428981,2.589528605150865,0.855030560422954,0.36324767672938485,0.9878748976615903,1.022062521746714,1534594.6524690343,18129333.270263683,0.6170976093735682,0,10
Success,2.053366241235306,1.7596900265555793,2.394914985497958,2.060077912916685,1.3378832120321973,2.479257077064897,0.6675241757415709,2832689.4080621563,19510032.576762855,0.6532140110966425,0,11
Success,0.2635938047748093,0.4521340101717969,2.222606181670061,1.4932562447038846,0.651560981294085,1.6029253702894177,0.6264738875968716,1710564.4698370325,11837899.625763692,0.6565567105954663,0,12
Success,2.149697050217661,1.4492375716072858,1.2668594330701508,1.0442338496140542,1.9647912607328875,1.213075309549493,0.4454197740850828,1883527.2403671034,13072031.641325135,0.644461337061953,0,13
