n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,80,5.63748152036754,784955.6773215261,0.4275492456965775,13
2,160,5.63748152036754,384660.64321717736,0.4244290138315971,24
3,240,5.63748152036754,109691.41338555029,0.4194606434425136,17
4,320,0.7816058999000579,70003.47770997704,0.4194606434425136,26
5,400,0.7816058999000579,29705.617409988183,0.35255870556501434,28
6,480,0.06617529905792713,1133.1895696306526,0.35255870556501434,35
7,560,0.03225539668565541,1133.1895696306526,0.41380046576023277,20
8,640,0.03225539668565541,51.996676638623946,0.4136873990724913,18
9,720,0.0032089390295999836,51.996676638623946,0.4136873990724913,35
10,800,0.0032089390295999836,51.996676638623946,0.42841382024085206,28
11,880,0.0032089390295999836,51.996676638623946,0.4641456803083689,35
12,960,0.0032089390295999836,51.996676638623946,0.4367615955664394,45
13,1040,0.0032089390295999836,16.24895599373039,0.43666907528934046,36
14,1120,0.0032089390295999836,10.136350119192423,0.4256555012650479,31
15,1200,0.0032089390295999836,9.997354456355737,0.4768561416135427,42
16,1280,0.0032089390295999836,9.997354456355737,0.4437676920612582,38
17,1360,0.0032089390295999836,6.8608997522971285,0.4646312877990577,37
18,1440,0.0006549334168201995,6.8608997522971285,0.4646312877990577,38
19,1520,0.0006549334168201995,6.8608997522971285,0.4646312877990577,38
20,1600,0.0006549334168201995,6.8608997522971285,0.42472372983241125,33
21,1680,0.0005851467416088773,6.8608997522971285,0.42472372983241125,48
22,1760,0.0005851467416088773,3.2879981786112875,0.4249898365050303,57
23,1840,0.0005405503008514089,3.2879981786112875,0.424723636178187,59
24,1920,0.0005405503008514089,2.358625041479556,0.4308932583502339,64
25,2000,4.0658063155457605e-05,2.358625041479556,0.43304605165604176,70
26,2080,4.0658063155457605e-05,2.358625041479556,0.43475220941717685,80
27,2160,4.0658063155457605e-05,2.358625041479556,0.43475220941717685,80
28,2240,4.0658063155457605e-05,2.358625041479556,0.47907964998234637,80
29,2320,4.0658063155457605e-05,2.358625041479556,0.47907964998234637,80
30,2400,4.0658063155457605e-05,1.918031183856428,0.48665472498713763,80
31,2480,4.0658063155457605e-05,1.918031183856428,0.5881956751535194,80
32,2560,2.5965090716254525e-05,1.918031183856428,0.5881956751535194,80
33,2640,2.5965090716254525e-05,1.918031183856428,0.5881956751535194,80
34,2720,2.5965090716254525e-05,0.870088468749263,0.5949291699739014,80
35,2800,2.5965090716254525e-05,0.870088468749263,0.5947173315120208,80
36,2880,2.5965090716254525e-05,0.870088468749263,0.5949291699739014,80
37,2960,2.5965090716254525e-05,0.870088468749263,0.5949291699739014,80
38,3040,2.5965090716254525e-05,0.870088468749263,0.5982378855599688,80
39,3120,1.526006861375216e-05,0.870088468749263,0.5897570699586328,80
40,3200,1.124569296254221e-05,0.4607486515823653,0.5870416832881328,80
41,3280,1.124569296254221e-05,0.4607486515823653,0.5870416832881328,80
42,3360,2.8559484376323028e-06,0.4607486515823653,0.5870416832881328,80
43,3440,2.8559484376323028e-06,0.45199104128371537,0.5869106797965842,80
44,3520,2.8559484376323028e-06,0.45199104128371537,0.5869106797965842,80
45,3600,2.8559484376323028e-06,0.45199104128371537,0.5869116011212414,80
46,3680,2.8559484376323028e-06,0.308827754854203,0.5869116011212414,80
47,3760,1.3260787540908217e-06,0.10691421347095571,0.5851433728746753,80
48,3840,1.3260787540908217e-06,0.10691421347095571,0.5851979806207643,80
49,3920,9.997828904220387e-07,0.10691421347095571,0.5851979806207643,80
50,4000,9.997828904220387e-07,0.10691421347095571,0.5851979806207643,80
51,4080,9.997828904220387e-07,0.10394302911851791,0.5997982441163799,80
52,4160,5.915911156867229e-07,0.10394302911851791,0.5900585895224076,80
53,4240,5.915911156867229e-07,0.10394302911851791,0.590093638710858,80
54,4320,5.915911156867229e-07,0.10394302911851791,0.590093638710858,80
55,4400,5.915911156867229e-07,0.10394302911851791,0.590093638710858,80
56,4480,4.565400662389763e-08,0.10394302911851791,0.590093638710858,80
