,demand_electricity_kw,demand_heat_kw,solar_availability,electricity_price,grid_availability,grid_emission_factor,outdoor_temperature,feed_in_tariff,gas_price,hp_air_cop,hp_geo_cop,hp_air_max
2020-01-01 00:00:00,60.29327895864425,856.2688076159641,0.0,0.0975,0.99,0.27045636,2.2,0.06,0.06899999999999999,2.043438296178343,3.11098,0.6703528251893025
2020-01-01 01:00:00,65.42915584124948,1157.063838239264,0.0,0.0975,0.99,0.244512874,2.2,0.06,0.06899999999999999,2.043438296178343,3.11098,0.6703528251893025
2020-01-01 02:00:00,57.53263641903978,1157.819139130876,0.0,0.0975,0.99,0.240455587,2.4,0.06,0.06894864378811753,2.049966853035143,3.11098,0.6729236883709621
2020-01-01 03:00:00,54.46576671193753,1160.356240058355,0.0,0.0975,0.99,0.238484002,2.4,0.06,0.06894864378811753,2.049966853035143,3.11098,0.6729236883709621
2020-01-01 04:00:00,54.96542648011545,1140.126292805177,0.0,0.0975,0.99,0.229809934,2.6,0.06,0.06868225084439705,2.056537259615385,3.11098,0.675512685236206
2020-01-01 05:00:00,56.77853811412037,1108.651831096437,0.0,0.0975,0.99,0.223386775,2.1,0.06,0.06899999999999999,2.04018958664547,3.11098,0.669074136084823
2020-01-01 06:00:00,61.22607098816547,1082.332211204023,0.0,0.0975,0.99,0.215818206,2.1,0.06,0.06899999999999999,2.04018958664547,3.11098,0.669074136084823
2020-01-01 07:00:00,65.85746252372034,1103.671553451952,0.0,0.15,0.99,0.210645995,1.9,0.06,0.06899999999999999,2.033723058637083,3.11098,0.6665301289011283
2020-01-01 08:00:00,76.55152034832722,1203.875410839998,0.0,0.15,0.99,0.207432837,2.3,0.06,0.06899999999999999,2.046697368421053,3.11098,0.6716360016372968
2020-01-01 09:00:00,97.61280172018945,1371.305836783851,0.07904279337046799,0.15,0.99,0.212552103,2.6,0.06,0.06868225084439705,2.056537259615385,3.11098,0.675512685236206
2020-01-01 10:00:00,124.2309914839905,1384.264358045318,0.14997856702331347,0.15,0.99,0.207146137,2.8,0.06,0.06841585790067656,2.063149919614148,3.11098,0.6781200024294383
2020-01-01 11:00:00,138.705054743682,1274.300786456762,0.18481566577292968,0.1275,0.99,0.198197393,2.6,0.06,0.06868225084439705,2.056537259615385,3.11098,0.675512685236206
2020-01-01 12:00:00,123.6317635641279,1151.550387404208,0.21211817947256412,0.1275,0.99,0.198302944,2.2,0.06,0.06899999999999999,2.043438296178343,3.11098,0.6703528251893025
2020-01-01 13:00:00,110.9664888834297,1096.606568864493,0.12552304471503106,0.1275,0.99,0.197970277,2.2,0.06,0.06899999999999999,2.043438296178343,3.11098,0.6703528251893025
2020-01-01 14:00:00,113.4766855576442,1100.795821618817,0.0501923174694603,0.1275,0.99,0.197990484,2.1,0.06,0.06899999999999999,2.04018958664547,3.11098,0.669074136084823
2020-01-01 15:00:00,147.2836762456899,1101.616264564406,0.012982045395005765,0.15,0.99,0.200320195,1.8,0.06,0.06899999999999999,2.030505142405064,3.11098,0.6652647656971882
2020-01-01 16:00:00,146.3452194190479,1079.803964738096,0.0,0.15,0.99,0.195515191,1.5,0.06,0.06899999999999999,2.020912204724409,3.11098,0.6614949700215028
2020-01-01 17:00:00,153.0703094852391,1056.354190945205,0.0,0.22499999999999998,0.99,0.194707538,0.8,0.06,0.06899999999999999,1.998877336448598,3.11098,0.6528493602186567
2020-01-01 18:00:00,137.6561638627668,1029.245695334854,0.0,0.22499999999999998,0.99,0.193848774,0.1,0.06,0.06899999999999999,1.97731779661017,3.11098,0.6444086781620765
2020-01-01 19:00:00,125.037709116521,994.9864293800146,0.0,0.22499999999999998,0.99,0.196078731,0.8,0.06,0.06899999999999999,1.998877336448598,3.11098,0.6528493602186567
2020-01-01 20:00:00,110.4618811869169,1020.787854839702,0.0,0.22499999999999998,0.99,0.197731111,1.1,0.06,0.06899999999999999,2.008261737089203,3.11098,0.6565291093980774
2020-01-01 21:00:00,102.1632690312267,1066.273606861304,0.0,0.15,0.99,0.200465535,1.1,0.06,0.06899999999999999,2.008261737089203,3.11098,0.6565291093980774
2020-01-01 22:00:00,83.5095767637336,1112.228258505975,0.0,0.15,0.99,0.203740062,0.9,0.06,0.06899999999999999,2.001995709828392,3.11098,0.6540717336971933
2020-01-01 23:00:00,68.00669010921504,1144.324580358429,0.0,0.0975,0.99,0.204361439,0.8,0.06,0.06899999999999999,1.998877336448598,3.11098,0.6528493602186567
2020-01-02 00:00:00,60.08794900783622,1177.834537757159,0.0,0.0975,0.99,0.212331606,1.1,0.06,0.06899999999999999,2.008261737089203,3.11098,0.6565291093980774
2020-01-02 01:00:00,57.9668437102497,1194.292666991456,0.0,0.0975,0.99,0.207349888,1.0,0.06,0.06899999999999999,2.005123828125,3.11098,0.6552983097406673
2020-01-02 02:00:00,57.16811909892758,1198.277977976932,0.0,0.0975,0.99,0.211038311,1.1,0.06,0.06899999999999999,2.008261737089203,3.11098,0.6565291093980774
2020-01-02 03:00:00,56.2891345430655,1200.729531783119,0.0,0.0975,0.99,0.214577527,0.5,0.06,0.06899999999999999,1.98958023255814,3.11098,0.6492072467380509
2020-01-02 04:00:00,57.04928556620057,1198.623625934015,0.0,0.0975,0.99,0.214457608,-0.1,0.06,0.06899999999999999,1.971243087557603,3.11098,0.6420337084266673
2020-01-02 05:00:00,62.18248474589765,1215.135333794311,0.0,0.0975,0.99,0.218713049,-0.5,0.06,0.06899999999999999,1.959204961832061,3.11098,0.637331606540811
2020-01-02 06:00:00,80.32480408610574,1240.080736697282,0.0,0.0975,0.99,0.222299815,-0.7,0.06,0.06899999999999999,1.953240867579909,3.11098,0.635004163851623
2020-01-02 07:00:00,121.4185457588578,1289.533468238617,0.0,0.15,0.99,0.237679989,-0.2,0.06,0.06899999999999999,1.968219708588957,3.11098,0.6408522326045267
2020-01-02 08:00:00,233.3531685549768,1329.582191156369,0.0,0.15,0.99,0.259622051,0.3,0.06,0.06899999999999999,1.983430061823802,3.11098,0.6467998041459777
2020-01-02 09:00:00,302.1595774392405,1362.991498739006,0.041473500495024546,0.15,0.99,0.276618322,0.6,0.06,0.06899999999999999,1.992669642857144,3.11098,0.6504171374466285
2020-01-02 10:00:00,300.0708405495471,1323.512828481149,0.07027961268528317,0.15,0.99,0.273713777,1.2,0.06,0.06899999999999999,2.01140948275862,3.11098,0.6577641538570105
