Solution_ID,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,battery_storage,thermal_storage,Cost,Emissions_kg,Resilience,Knee_Cost_Emissions,Knee_Cost_Resilience,Knee_Emissions_Resilience,Ideal_Distance
0,0.20050943773228241,0.8090708263633528,0.21352279518463776,0.6055186672887882,0.21640531855707792,0.20008490379072552,0.5776470545331479,348118.009958387,906695.3398331829,0.5400739350258787,NO,YES,YES,NO
1,0.2008939277156233,0.34609999625901644,0.20027066397604676,0.2084758106939929,0.20023173262355767,0.20010394421919925,0.20560696402487663,267070.7291276254,850421.9775474505,0.3259328883985658,NO,NO,NO,NO
2,2.839971491890622,2.999997211345027,0.20000046510450176,0.21400226845705855,0.21140737237295548,0.3308155880673819,0.8485475848276417,1077965.164328257,849274.6150026409,0.656133314703761,NO,NO,NO,NO
3,0.20123645579373414,0.5321279914064487,0.20000003207165326,0.29194906172667956,0.2159006085184092,0.2014621894244668,0.6048571536442957,302512.682478449,849272.7761878883,0.5103930510384476,NO,NO,NO,NO
4,2.066798092022677,2.99928950201113,0.20318633869313926,0.23695745840187357,0.2115918150083342,0.32969725852856346,0.8024121148367205,884804.8084667055,862802.9913692825,0.6429626005238613,NO,NO,NO,NO
5,2.053898390586883,2.7335106526077295,0.201941969797405,0.24095014217842728,0.2163633380809562,0.20071421859556512,0.8473831692522811,813627.8145708628,857518.9490832123,0.640557394325309,NO,NO,NO,NO
6,0.22489501335106543,1.18680186950039,0.20733954734760243,0.23967032990228193,0.21104752683180192,0.20055926757123607,0.5954817299201035,314259.56966856937,880439.0237615162,0.5129175271319186,NO,NO,NO,NO
7,0.22365759288071038,1.3685972145865832,0.20287007223312298,0.6016857807471574,0.25286745512482733,0.20084451470960335,0.6685015408123349,370698.2635700726,861460.0091120754,0.546508952160601,NO,NO,NO,NO
8,1.6130708492656947,2.6790434409864674,0.2088307876923773,0.209503776444039,0.2017257089981759,0.20489944367282728,0.667724281271535,691447.6185122603,886771.3718839239,0.6177263874981267,NO,NO,NO,NO
9,0.2008939277156233,0.34614254815221535,0.2001328468484089,0.20823583247991218,0.20023173262355767,0.20006922909338187,0.5746362078392429,284343.8260793129,849836.7559683198,0.4770189035621995,NO,NO,NO,NO
10,0.9920182868982603,2.370327632824902,0.2015696346737185,0.23854566846918562,0.2002068168323822,0.20143673863025444,0.5975673490767337,526522.522861686,855937.878915922,0.595581858286244,NO,NO,NO,NO
11,0.2010892546491725,0.5317622271368637,0.20028225236354688,0.21565283698569762,0.2002212949520952,0.20005877753955606,0.26210163264823716,274114.45423848147,850471.1860496787,0.36263190491374986,NO,NO,NO,NO
12,2.4933981367940063,2.9909623894213917,0.20628596796125448,0.2139553715790889,0.2158822314934858,0.2010799492602785,0.5877339452999545,914264.6521464641,875965.1430270501,0.6496855357214056,NO,NO,NO,NO
13,1.3937237995026677,2.623896672383885,0.20924000655258043,0.21291591362630496,0.21460707074694135,0.20186311026989018,0.667724281271535,635981.0925022716,888509.0637926366,0.6191703169769508,NO,NO,NO,NO
14,0.2010892546491725,0.5317622271368637,0.20028225236354688,0.21565283698569762,0.20163912546928703,0.20006831947739762,0.4527711552619203,283265.52919644397,850471.1860496787,0.4394195982373822,NO,NO,NO,NO
15,0.6455266413591295,1.1716313220151031,0.20835950244100385,0.32621861814248254,0.21126082700624993,0.2044732355945554,0.6044698019616186,433112.9438075359,884770.1235357887,0.5646846325006314,NO,NO,NO,NO
16,2.566107138896032,2.7335106526077295,0.20051488179663166,0.24095014217842728,0.2163633380809562,0.2007022939855786,0.8559413637601407,942249.1745826564,851459.0151135665,0.6480500596608694,NO,NO,NO,NO
17,2.6951942012931163,2.999984087010845,0.2000006504045598,0.21400051726453853,0.21144251105877632,0.3308155880673819,0.8049571907913164,1039582.6123846037,849275.401853988,0.6547205306385353,NO,NO,NO,NO
18,0.20106112453837768,0.20561386635462164,0.20096556519489495,0.215744905984089,0.2168788584421866,0.21620266622660445,0.28776297417784824,279783.6172079578,853372.7805108029,0.37843084003878924,NO,NO,NO,NO
19,1.2659372453646172,1.5766288888459328,0.21235635096779476,0.21466798787742764,0.24979298728906013,0.200415897491792,0.6706452303636499,589228.470814036,901742.1940359283,0.600170204227513,NO,NO,NO,NO
20,1.8463464672206664,2.7145723774469865,0.20995353202331934,0.21300997433074895,0.21162861611460593,0.20329554262498578,0.863382485730382,761001.836270017,891538.9520938449,0.635853590682641,NO,NO,NO,NO
21,0.25637518102529067,0.49972899641275037,0.21291795353330245,0.28951449051859734,0.20490565698532565,0.20126414398446216,0.6040659625617364,316905.2054833901,904126.9625031257,0.5142315868085688,NO,NO,NO,NO
22,0.5980472129838966,1.1501261942371885,0.21267119964058942,0.23800307117851083,0.2117183089311808,0.20010623968192714,0.5964571225623215,408161.53631112684,903079.1558536522,0.5583669292825502,NO,NO,NO,NO
23,1.7280526699511647,2.5801970889813846,0.21164566391947248,0.2012781459686578,0.20149015900489015,0.2001762597605847,0.6629427011298286,715416.9000453217,898724.3587072155,0.630046370272002,NO,NO,NO,NO
24,2.4876610974773574,2.9909623894213917,0.20628596796125448,0.2225281889447645,0.2158822314934858,0.2010985355234545,0.5877339452999545,913911.571252177,875965.1430270501,0.6492679955246249,NO,NO,NO,NO
25,0.2347203045893823,1.6913111148493978,0.2054065208217892,0.32621861814248254,0.21126082700624993,0.20067990945164957,0.653918988283786,339386.0196092831,872230.6910576795,0.5231330703084174,NO,NO,NO,NO
26,0.2004912925730354,0.4881116917114911,0.20192437353385584,0.2084758106939929,0.20460662656768552,0.20016509376305566,0.2201769163649134,271272.8903112226,857444.228957219,0.33888804571583603,NO,NO,NO,NO
27,1.2479389292640002,2.9290875351093426,0.20315165715591993,0.21587241081103614,0.2013388751543641,0.21612696272704976,0.6335711778200127,608025.8116843797,862655.7209659155,0.6097391843927571,NO,NO,NO,NO
28,0.20086168215336153,0.361699767064504,0.20955683952464682,0.20684638276916628,0.21259344244235812,0.20006669825982276,0.5848847935149412,288697.02153352724,889854.4516657655,0.48620135864755787,NO,NO,NO,NO
29,0.2008939277156233,0.34609999625901644,0.21124304349401624,0.2084758106939929,0.20023173262355767,0.2001735840126494,0.20614638168910146,269681.89233758114,897014.6861489898,0.33054761232158963,NO,NO,NO,NO
30,0.9871918481321427,2.416735845972865,0.20002366982451045,0.23816305513594443,0.24817205730093952,0.21619146007215334,0.6449360704616544,541648.7403808151,849373.1506717516,0.5970498058434289,NO,NO,NO,YES
31,0.6455266413591295,1.6913111148493978,0.20846733342866516,0.32621861814248254,0.21126082700624993,0.20407547369556148,0.6044698019616186,442613.9854037141,885228.0130736138,0.5715038163615642,NO,NO,NO,NO
32,0.2008939277156233,0.34609999625901644,0.20392221705832048,0.2719015562385858,0.21349332574130042,0.20005044610053602,0.5756596933419701,294952.9113716563,865927.7981788643,0.49673147075713175,NO,NO,NO,NO
33,0.6531656139305765,1.7613220642574006,0.20402775494132183,0.7296964774273251,0.251271628526095,0.2042959729345646,0.6344174552925865,502127.00715283176,866375.950361447,0.580764654937045,NO,NO,NO,NO
34,0.2004771921536514,0.8246167930325498,0.2109367699302769,0.30325164042295255,0.38272460380606255,0.2000207851184136,0.5868721547061189,331407.44295342045,895714.1373587946,0.5245923593177957,NO,NO,NO,NO
35,2.6898340321879606,2.9999158473690644,0.20995353202331934,0.21400509715526111,0.2125529143344401,0.2181870124839687,0.8465699011311496,985082.6665997442,891538.9520938449,0.6540556202542234,NO,NO,NO,NO
36,1.2659372453646172,1.7570577216804322,0.21235635096779476,0.21466798787742764,0.24979298728906013,0.2004220264476311,0.6706452303636499,592592.1746095308,901742.1940359283,0.6050916517403943,NO,NO,NO,NO
37,0.2010892546491725,0.5317622271368637,0.20028225236354688,0.21470408742273692,0.20163912546928703,0.20041211338275036,0.45068185475857964,283223.77571608254,850471.1860496787,0.43846861082268934,NO,NO,NO,NO
38,0.6531656139305765,1.7613220642574006,0.20463755749566412,0.7253909670857952,0.2515993166511747,0.20407547369556148,0.6339488512162456,501634.6946923355,868965.3934874724,0.5806680204094561,NO,NO,NO,NO
39,0.9062175855364136,1.7795439235888713,0.20413196695187513,0.2099645163875813,0.2035573866112054,0.20279449585966763,0.6551840885464089,494818.13058753114,866818.4724080589,0.5794935771376981,NO,NO,NO,NO
40,1.7661949022137984,2.844027650220328,0.20013239331114263,0.2131825739799377,0.2161711637324932,0.2002523887545364,0.8559413637601407,739708.7820933665,849834.8300843625,0.6346575865818733,NO,NO,NO,NO
41,1.6994255983430322,2.5801970889813846,0.21164566391947248,0.2012781459686578,0.2023758443435043,0.2001762597605847,0.6629427011298286,708344.7931212606,898724.3587072155,0.6291502150516071,NO,NO,NO,NO
42,1.5136767334229861,2.623896672383885,0.20924000655258043,0.2129577077446401,0.21460707074694135,0.20015998327830173,0.667724281271535,665222.2522041451,888509.0637926366,0.6242928951636959,NO,NO,NO,NO
43,0.20123645579373414,0.5321279914064487,0.20000003207165326,0.29194906172667956,0.20135142741996673,0.2014621894244668,0.34781087718939924,288572.0902046922,849272.7761878883,0.40781936094174837,NO,NO,NO,NO
44,0.2012453662028739,0.3589052049693031,0.2010747074331931,0.2157058943358823,0.2168788584421866,0.21636222394699814,0.6584408703578682,300216.7559458178,853836.2380950782,0.4959616191097522,NO,NO,NO,NO
45,2.7186349964425576,2.9999158473690644,0.20995353202331934,0.21400509715526111,0.21163230977636557,0.2181870124839687,0.8465699011311496,992193.968363768,891538.9520938449,0.6543870107907692,YES,NO,NO,NO
46,0.6455266413591295,1.7428918930648156,0.20846733342866516,0.6991747519441212,0.21126082700624993,0.20407547369556148,0.6343516430303259,491848.5065802237,885228.0130736138,0.5795717087348446,NO,NO,NO,NO
47,0.2012453662028739,0.20561386635462164,0.20099060805164926,0.215744905984089,0.2168788584421866,0.21620266622660445,0.31311020853606814,281027.5396226354,853479.1215761468,0.3887612881636056,NO,NO,NO,NO
48,0.21443690126110737,0.5321279914064487,0.21072402275453148,0.29237744989044806,0.2159006085184092,0.2014552587788616,0.6048571536442957,308368.563959801,894810.735580805,0.5129485368153803,NO,NO,NO,NO
49,0.22264365015589616,1.6913111148493978,0.20145359178955274,0.32621861814248254,0.21126082700624993,0.20067990945164957,0.6065502668988649,333208.8795389069,855445.118682979,0.5214661770138398,NO,NO,NO,NO
