n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,50,1066174.574671189,914929.6018313144,0.42748844013950865,5
2,100,996716.1422298123,914929.6018313144,0.3951095070685271,8
3,150,711963.5414397384,914929.6018313144,0.4722529951107072,6
4,200,593433.2176001366,889822.5879944762,0.3742425396032626,11
5,250,406344.0692094752,889723.6812972185,0.44586769964056777,18
6,300,406344.0692094752,850490.5618030917,0.44586769964056777,26
7,350,406344.0692094752,850490.5618030917,0.44586769964056777,26
8,400,392115.13054346567,850179.2849935702,0.3989880166748172,22
9,450,340089.61049360177,850179.2849935702,0.38696271976380525,34
10,500,340089.61049360177,849637.2213048573,0.38696271976380525,42
11,550,340089.61049360177,849609.2476059878,0.38696271976380525,39
12,600,340089.61049360177,849601.1493388932,0.38696271976380525,35
13,650,322689.7654267323,849324.7448495144,0.3906444623806755,50
14,700,322689.7654267323,849324.7448495144,0.3906444623806755,50
15,750,322689.7654267323,849324.7448495144,0.3906444623806755,50
16,800,322689.7654267323,849324.7448495144,0.37266941013591803,50
17,850,319428.7530512365,849324.7448495144,0.37266941013591803,48
18,900,317986.6350424194,849324.7448495144,0.37266941013591803,50
19,950,317986.6350424194,849279.3401319258,0.37266941013591803,50
20,1000,301661.03731261037,849279.3401319258,0.3603231863332462,50
21,1050,300384.25023789855,849279.3401319258,0.36263602991011173,48
22,1100,300384.25023789855,849279.3401319258,0.36263602991011173,50
23,1150,300384.25023789855,849279.3401319258,0.36020031419541254,50
24,1200,299189.90340561175,849279.3401319258,0.3565546759618089,50
25,1250,295356.7721155474,849275.5535446025,0.3565546759618089,50
26,1300,295356.7721155474,849275.5535446025,0.3565546759618089,50
27,1350,295356.7721155474,849275.5535446025,0.360907669200898,50
28,1400,295356.7721155474,849275.5535446025,0.360907669200898,50
29,1450,295356.7721155474,849275.5535446025,0.360907669200898,50
30,1500,293122.4509573313,849275.5535446025,0.358837298303785,50
31,1550,288599.2917513779,849275.5535446025,0.360706135183255,50
32,1600,288599.2917513779,849275.5535446025,0.360706135183255,50
33,1650,288599.2917513779,849275.5535446025,0.360706135183255,50
34,1700,288599.2917513779,849275.5535446025,0.360706135183255,50
35,1750,287478.88121591904,849275.5535446025,0.360131226643599,50
36,1800,287478.88121591904,849275.5535446025,0.3596687667906653,50
37,1850,287478.88121591904,849275.5535446025,0.3593335875545665,50
38,1900,285233.8986604768,849275.5535446025,0.3554180532917045,50
39,1950,285233.8986604768,849275.5535446025,0.3554180532917045,50
40,2000,285233.8986604768,849275.5535446025,0.3554180532917045,50
41,2050,285233.8986604768,849275.5535446025,0.3554180532917045,50
42,2100,285233.8986604768,849275.5535446025,0.3554180532917045,50
43,2150,285233.8986604768,849275.5535446025,0.35538013607570224,50
44,2200,284161.9376234481,849275.5535446025,0.35307710424599825,50
