n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,20,1459527.2166653122,936808.6797496001,0.5054327487321433,5
2,40,1411769.5774350925,936808.6797496001,0.5054327487321433,6
3,60,1310958.4694869448,925326.0131890327,0.5054327487321433,13
4,80,1249920.1324703433,925326.0131890327,0.5054327487321433,20
5,100,1067045.409335117,925326.0131890327,0.5638421088944471,5
6,120,885347.1261664388,881969.9263714505,0.5502661467776488,7
7,140,713501.5367346267,881969.9263714505,0.5502897486969555,5
8,160,526529.2044696496,880697.0704026549,0.5502897486969555,10
9,180,526529.2044696496,880697.0704026549,0.5251913834787758,16
10,200,526529.2044696496,863888.0647294308,0.5284428963077017,14
