Status,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,battery_storage,thermal_storage,Cost,Emissions_kg,Resilience,Generation,Solution_ID
Success,2.3670769359566974,1.4288596313057464,2.604074175751871,2.1526304813662187,0.4636965740854187,2.9317425845829166,2.331191165572988,3163610.8243084024,11057844.749983082,0.5664450857459887,0,0
Success,2.4009800547754705,0.5587181714915284,1.461080626107588,1.2382344678512274,2.7949419687760853,2.0028223362258606,2.503732517158324,2605742.994967858,6204279.00293622,0.507718274044489,0,1
Success,1.441559756716527,0.8362684209973752,1.7528374036443373,0.37868831709169093,2.51736728157923,1.9686603175417814,2.3226456722390467,2268559.4257957796,7443184.246418861,0.5559604454363442,0,2
Success,1.1926727107636315,2.9179544683057292,2.7007391397021534,2.379473791806533,0.7449883819855092,1.5068188104356957,0.32265054420424055,2160671.718711277,11468319.29563088,0.5281312941432206,0,3
Success,0.6320105777891338,2.112537069078873,2.285334036541888,2.909027250815788,1.1123110027868255,1.2372871768976328,1.514756271572262,1940053.0041885471,9704358.352478925,0.5625469147837405,0,4
Success,1.1875706394030443,2.0650188284919597,2.7007391397021534,2.379473791806533,0.7449883819855092,1.5068188104356957,1.4117277688560292,2194714.683439021,11468319.29563088,0.5615309405430856,1,5
Success,0.6320105777891338,2.844470461270758,2.690162361959123,2.909027250815788,0.7536660776418947,1.2372871768976328,1.514756271572262,2002075.3845824585,11423406.455848303,0.5553511344350086,1,6
Success,2.4009800547754705,0.5587181714915284,1.461080626107588,2.1691872388815474,2.7971246871083992,1.9660171255522572,2.5069146048548157,2704350.4687896497,6204279.00293622,0.4994661828398126,1,7
Success,0.6371130877648798,2.9525218448968404,2.285334036541888,2.909027250815788,1.1123110027868255,1.2372871768976328,0.3657448176611332,1902950.7479686807,9704358.352478925,0.5316495087744175,1,8
Success,1.1926727107636315,2.1840023319614335,2.2959103251321302,2.379473791806533,1.1036333092056312,1.5068188104356957,0.32265054420424055,2098611.624840468,9749269.115141112,0.5327924687457196,1,9
