n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,80,22.907081780345198,722919.4773821799,0.5256147948649613,23
2,160,22.907081780345198,432250.3097886775,0.5257009168781372,25
3,240,22.907081780345198,432250.3097886775,0.5222734597125968,21
4,320,21.811355644809158,427019.90499259124,0.5222734597125968,25
5,400,20.96467847758281,427019.90499259124,0.5273312490802886,19
6,480,20.96467847758281,427019.90499259124,0.5220723110703247,33
7,560,20.96467847758281,427019.90499259124,0.5220723110703247,35
8,640,20.871233023086603,427019.90499259124,0.5283707576101013,38
9,720,20.871233023086603,426965.41964065883,0.5283707576101013,38
10,800,20.87066800130678,426965.41964065883,0.5283707576101013,53
11,880,20.87066800130678,426965.41964065883,0.524027176952768,71
12,960,20.77508715581255,426965.41964065883,0.5240105765376032,58
13,1040,20.77508715581255,424747.2185023973,0.5243191131933067,66
14,1120,20.77508715581255,424747.2185023973,0.5394904939116362,62
15,1200,20.77363520847915,424747.2185023973,0.5394904939116362,77
16,1280,20.769973160214825,424747.2185023973,0.5394904939116362,80
17,1360,20.76886926396576,424747.2185023973,0.5394904939116362,80
18,1440,20.76886926396576,424747.2185023973,0.5405909770475097,80
19,1520,20.76886926396576,424747.2185023973,0.5406642803527201,80
20,1600,20.76886926396576,424747.2185023973,0.5406642803527201,80
21,1680,20.76886926396576,424747.2185023973,0.540686403918381,80
22,1760,20.768763743916022,424718.195666775,0.5407181061375089,80
23,1840,20.767406945207824,424718.195666775,0.5407181061375089,80
24,1920,20.767406945207824,424718.195666775,0.5411465460915681,80
25,2000,20.767406945207824,424718.195666775,0.5411465460915681,80
26,2080,20.767406945207824,424718.195666775,0.5415590278495966,80
27,2160,20.767406945207824,424718.195666775,0.5415590278495966,80
28,2240,20.767406945207824,424718.195666775,0.5415590278495966,80
29,2320,20.767406945207824,424718.195666775,0.5415590278495966,80
30,2400,20.767406945207824,424718.195666775,0.5467127438237602,80
31,2480,20.766686487571533,424718.195666775,0.5483776133834692,80
32,2560,20.766686487571533,424718.195666775,0.5487234179725671,80
33,2640,20.766686487571533,424718.195666775,0.5487234179725671,80
34,2720,20.766686487571533,424718.195666775,0.5487234179725671,80
35,2800,20.766686487571533,424690.25091859425,0.5487210485876133,80
36,2880,20.765728736096182,424690.25091859425,0.5487210485876133,80
37,2960,20.765728736096182,424690.25091859425,0.5489912757465946,80
38,3040,20.765728736096182,424690.25091859425,0.5489912757465946,80
39,3120,20.765728736096182,424690.25091859425,0.5489912757465946,80
40,3200,20.765728736096182,424690.25091859425,0.5490035962660136,80
41,3280,20.765728736096182,424690.25091859425,0.5490035962660136,80
42,3360,20.765728736096182,424690.25091859425,0.5490035962660136,80
43,3440,20.76564456621151,424688.3074897978,0.5485099979518175,80
44,3520,20.76564456621151,424688.3074897978,0.5489891483702527,80
45,3600,20.76551196152058,424688.3074897978,0.5489891483702527,80
46,3680,20.76551196152058,424688.3074897978,0.5489891483702527,80
47,3760,20.76551196152058,424688.3074897978,0.5489891483702527,80
48,3840,20.76551196152058,424688.3074897978,0.5489891483702527,80
49,3920,20.76551196152058,424688.3074897978,0.5489891483702527,80
50,4000,20.76551196152058,424688.3074897978,0.5489891483702527,80
51,4080,20.76551196152058,424688.3074897978,0.5489891483702527,80
