Status,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,electrolyser,battery_storage,thermal_storage,hydrogen_storage,Cost,Emissions_kg,Resilience,Generation,Solution_ID
Success,2.3670769359566974,1.4288596313057464,2.604074175751871,2.1526304813662187,0.4636965740854187,2.9317425845829166,2.331191165572988,2.4009800547754705,0.5587181714915284,116.02283159222708,11057844.749983082,0.5735739885575277,0,0
Success,1.461080626107588,1.2382344678512274,2.7949419687760853,2.0028223362258606,2.503732517158324,1.441559756716527,0.8362684209973752,1.7528374036443373,0.37868831709169093,78.64123978379538,11868338.722346317,0.5777098426124216,0,1
Success,2.51736728157923,1.9686603175417814,2.3226456722390467,1.1926727107636315,2.9179544683057292,2.7007391397021534,2.379473791806533,0.7449883819855092,1.5068188104356957,312.96528236224555,9862797.109235149,0.5746176951172748,0,2
Success,0.32265054420424055,0.6320105777891338,2.112537069078873,2.285334036541888,2.909027250815788,1.1123110027868255,1.2372871768976328,1.514756271572262,0.7305198054359998,151.73634702399053,8970599.668772388,0.5693234725949186,0,3
Success,0.5637802149393205,1.5319737934326143,0.8353461773424755,2.075479185111029,1.4240253728425258,2.531498948961945,2.1607422856062977,1.074626595869715,2.530327443906563,525.6701358826166,3547183.2667277628,0.5643149593170504,0,4
Success,2.4533402009910454,1.2849394612844884,1.0073186910046834,2.110987411129931,0.5913069541060674,0.7597429669303033,0.22061435530281545,2.4033882570059877,2.06158239845769,428.67728313001294,4277441.020154459,0.5574663214355423,0,5
Success,2.1744630601537382,2.38604128686151,1.4849641715073518,1.7924753486681024,0.5914315947574409,0.5206842059007256,2.0715282930133205,1.5190693772007708,1.7826610981473285,370.8187825933783,6305697.211207307,0.5996043523498468,0,6
Success,2.3419968007648717,1.9772112960016541,1.7500223218423883,1.7657800500871579,1.0510602745753141,0.28628993679023035,1.4228086898506145,0.8008370838946817,1.343880202428981,279.7343209923556,7431230.386650075,0.5913082726139129,0,7
Success,2.589528605150865,0.855030560422954,0.36324767672938485,0.9878748976615903,1.022062521746714,2.053366241235306,1.7596900265555793,2.394914985497958,2.060077912916685,427.9776272750317,1542481.5669491559,0.488764021627634,0,8
Success,1.3378832120321973,2.479257077064897,0.6675241757415709,0.2635938047748093,0.4521340101717969,2.222606181670061,1.4932562447038846,0.651560981294085,1.6029253702894177,332.95550189833034,2834550.0949793383,0.6093193415025301,0,9
Success,0.6264738875968716,2.149697050217661,1.4492375716072858,1.2668594330701508,1.0442338496140542,1.9647912607328875,1.213075309549493,0.4454197740850828,0.5304165259374429,110.15057186084874,6153989.092130541,0.5831399124167753,0,10
Success,2.8933134607386406,2.7440259339812996,2.159179974670099,0.9444358920866547,2.913693856573627,2.380502531104225,2.207292529645188,1.4582122060026081,0.9622763731664452,199.84824876142903,9168662.386616038,0.5884909914635473,0,11
Success,0.469894694029798,2.7272867103227565,1.4761736115341109,0.7666174214266448,1.056678547621827,1.8218147930373085,0.6949637922298488,2.5985199954586515,2.3238546835385883,482.8461559429903,6268369.300829544,0.5735570040768787,0,12
Success,2.214496276662623,1.4098605113702902,1.9564647539668407,1.8354743129556594,2.019570484353496,0.43644409919168947,1.3642607260777069,0.31651968681329895,1.583174293884653,329.35825247138627,8307859.933341849,0.5750037411093342,0,13
Success,1.123611394531799,0.6046677288249314,0.4895283096231446,1.8454048020975935,0.6776603119032811,2.7903363314550322,1.8269711911611057,1.1712354526975437,1.8545633761479667,385.2130409168268,2078714.9993419265,0.49334757959181563,0,14
Success,0.26385083888315297,2.883965797076047,1.5504496234401206,2.3916586363008014,0.43164399978282797,1.5626433263468489,1.5739795841926585,2.825914073929952,1.800838546653011,374.15037464617615,6583772.2244299855,0.585523754050593,0,15
Success,1.5257703229594706,0.9475318566573019,1.1283931925591462,1.6578827269203056,1.4289520888541305,0.2605138236649252,2.513617387744202,2.709250161151347,0.5926974491961101,123.21454754668966,4791567.328013671,0.560916129315586,0,16
Success,1.7513012019093381,0.5040120751792418,2.0822722605114725,0.9874545947492233,2.046383377137325,2.2355849200032716,2.35221297736944,0.5016746486765103,2.7648331663853023,574.4596469619034,8842084.29941673,0.5537425302066955,0,17
Success,0.8445991745056662,0.3047551572933034,1.7535869142961533,1.2385823948148285,2.5234112807707567,2.463104121780045,1.087988899903603,2.868118306195286,1.0145699467923321,210.7096444473063,7446366.940868739,0.5422208912761908,0,18
Success,1.6421599618488005,0.9167022535892877,2.8209219961370975,0.6609018892296508,0.32574973429852117,1.4182717680085062,2.978651579356344,2.696696345513759,2.296102454479458,477.1661214405045,11978659.354467109,0.5821798704034145,0,19
Success,1.4886453824938828,1.650879415141684,2.8520036055617375,2.0028223362258606,2.503732517158324,1.441559756716527,0.8362684209973752,2.711317204862083,0.37868831709169093,78.64123978379538,12110643.156924678,0.5810465720433529,1,20
Success,2.1781710550409663,2.419139948963333,1.4849641715073518,1.7924753486681024,0.5818503852566987,0.5206842059007256,2.0715282930133205,1.5190693772007708,1.7826610981473285,370.8187825933783,6305697.211207307,0.6001538548777046,1,21
Success,1.3443553245843207,2.483201968457326,0.48779270897663135,1.8454048020975935,0.6776603119032811,2.2322172187817135,1.4865066190042853,0.6658399648828018,1.8545633761479667,385.2471875500398,2071345.0086266769,0.59009488198697,1,22
Success,0.6264738875968716,2.753335945740298,2.188699187173617,1.2668594330701508,1.1188476900430835,1.9647912607328875,1.2049390409940743,0.49534253941184836,0.5304165259374429,110.15057186084874,9294011.684283959,0.5737926888152758,1,23
