n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,160,4.795430672167945,35259.83978115274,0.4173897982162462,19
2,320,2.0115259955027134,35259.83978115274,0.4173897982162462,24
3,480,0.8706611484324638,35259.83978115274,0.417527944428766,10
4,640,0.8706611484324638,26042.540889887045,0.428862746326681,17
5,800,0.016277335970632686,1524.5982750338624,0.4183531587505118,18
6,960,0.016277335970632686,854.6770444933109,0.4472732538503775,32
7,1120,0.016277335970632686,854.6770444933109,0.4472732538503775,28
8,1280,0.013292474576949317,854.6770444933109,0.4098590665567579,27
9,1440,0.013292474576949317,854.6770444933109,0.4096925022514259,33
10,1600,0.0011770566302769941,100.81568429102857,0.4085679902688868,39
11,1760,0.00017435940521918393,100.81568429102857,0.4085679902688868,43
12,1920,0.00017435940521918393,100.81568429102857,0.4085679902688868,38
13,2080,0.00017435940521918393,37.25290087169998,0.4083786595135276,51
14,2240,0.00017435940521918393,37.25290087169998,0.4093210777767005,43
15,2400,3.758251749314615e-05,37.25290087169998,0.47468604558881955,49
16,2560,3.758251749314615e-05,7.294734547520492,0.4372182862264251,51
17,2720,2.3901425185433482e-05,4.959832397323166,0.43953031770100287,59
18,2880,2.3901425185433482e-05,4.959832397323166,0.4359088112579678,69
19,3040,1.0869983866787988e-05,4.865474006172798,0.4744668138270163,65
20,3200,1.0869983866787988e-05,4.605750809471617,0.4744668138270163,61
21,3360,5.954936064168701e-06,4.605750809471617,0.474690702242628,69
22,3520,2.1237213217148516e-06,4.605750809471617,0.47883762210337766,74
23,3680,2.1237213217148516e-06,0.8925586996820836,0.47665164645910063,78
24,3840,6.537257694921713e-07,0.8925586996820836,0.47665164645910063,87
25,4000,1.6144929295216446e-07,0.8925586996820836,0.47665164645910063,94
26,4160,1.6144929295216446e-07,0.15434816351024067,0.4732173104108566,118
27,4320,1.6144929295216446e-07,0.0,0.49892812510156903,134
28,4480,3.042963865810427e-08,0.0,0.49892812510156903,147
29,4640,2.480010624124831e-08,0.0,0.5000172326584981,153
30,4800,2.480010624124831e-08,0.0,0.5000172326584981,160
31,4960,2.480010624124831e-08,0.0,0.5000172326584981,152
32,5120,7.782957316966995e-13,0.0,0.5030485255871969,155
33,5280,7.782957316966995e-13,0.0,0.5030485255871969,160
34,5440,7.782957316966995e-13,0.0,0.503200528954389,160
35,5600,7.782957316966995e-13,0.0,0.5036347472893626,160
36,5760,7.782957316966995e-13,0.0,0.5036347472893626,160
